country,date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Germany,2024-08-10,138203939,31586566,12803142,3761436,0
Italy,2024-08-10,96513783,34368428,12174566,1508525,0
United States,2024-08-10,401685954,251852502,0,18991177,0
Norway,9/9/2023,9935880,2404849,148207,7435,0
