Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Germany,2021-03-28,9801419,653575,2803216,120,0
Germany,2021-03-29,9990377,678762,2894950,121,0
Germany,2021-03-30,10205691,703357,2981433,122,0
Germany,2021-03-31,10451781,739883,3033296,123,0
Germany,2021-04-01,10692469,772547,3092585,143,0
Germany,2021-04-02,10872524,787017,3124661,148,0
Germany,2021-04-03,11046885,802940,3167049,149,0
Germany,2021-04-04,11179649,813047,3217833,151,0
Germany,2021-04-05,11345339,830957,3282921,159,0
Germany,2021-04-06,11617527,863256,3370975,167,0
Germany,2021-04-07,12216382,900703,3460547,184,0
Germany,2021-04-08,12806597,936631,3552879,199,0
Germany,2021-04-09,13285742,973535,3658583,206,0
Germany,2021-04-10,13530157,996881,3760373,207,0
Germany,2021-04-11,13698087,1015640,3834930,208,0
Germany,2021-04-12,13968613,1045118,3947181,225,0
Germany,2021-04-13,14427674,1072558,4064648,235,0
Germany,2021-04-14,15077254,1106429,4189599,255,0
Germany,2021-04-15,15614078,1142909,4298761,280,0
Germany,2021-04-16,16037777,1175649,4425078,289,0
Germany,2021-04-17,16255947,1198382,4543456,289,0
Germany,2021-04-18,16425232,1213816,4626019,290,0
Germany,2021-04-19,16712923,1247255,4703409,303,0
Germany,2021-04-20,17111987,1286852,4854067,323,0
Germany,2021-04-21,17582807,1329200,5090391,348,0
Germany,2021-04-22,17963556,1373838,5304683,383,0
Germany,2021-04-23,18309014,1417768,5457096,401,0
Germany,2021-04-24,18541967,1467422,5537225,405,0
Germany,2021-04-25,18728925,1501156,5596986,409,0
Germany,2021-04-26,19055287,1543758,5664580,507,0
Germany,2021-04-27,19809147,1595495,5717879,1083,0
Germany,2021-04-28,20859918,1656463,5767988,1899,0
Germany,2021-04-29,21685532,1720353,5824042,2799,0
Germany,2021-04-30,22329331,1777854,5888601,3728,0
Germany,2021-05-01,22569413,1819572,5928249,6361,0
Germany,2021-05-02,22759024,1857088,5958289,8172,0
Germany,2021-05-03,23074270,1927952,6025014,9872,0
