AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,TIME_PERIOD,OBS_VALUE,UNIT_MULT,Unit multiplier
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2021,2232.168,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2020,3487.018,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2020,1251.183,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2021,10716.355,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2020,11445.064,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2020,352.386,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2022,1.634,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2020,32.074,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2022,900.088,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2021,5195.996,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2020,5789.693,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2022,398.433,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2021,544.17,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2021,2369.333,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2020,5027.764,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,484.351,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,6.425,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,28.522,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2020,25.448,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,1.296,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,9.867,6,Millions
