Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Austria,31/3/2021,1249650,131868,414419,102,0
Austria,1/4/2021,1271113,137117,419983,111,0
Austria,2/4/2021,1292577,142367,425548,120,0
Austria,3/4/2021,1324735,148078,438544,135,0
Austria,4/4/2021,1356894,153790,451541,150,0
Austria,5/4/2021,1389053,159501,464538,165,0
Austria,6/4/2021,1421211,165213,477535,180,0
Austria,7/4/2021,1453370,170924,490532,195,0
Austria,8/4/2021,1485529,176636,503529,210,0
Austria,9/4/2021,1517688,182348,516526,225,0
Austria,10/4/2021,1551639,188501,530319,228,0
Austria,11/4/2021,1585590,194655,544112,231,0
Austria,12/4/2021,1619541,200809,557905,235,0
Austria,13/4/2021,1653492,206963,571698,238,0
Austria,14/4/2021,1687443,213117,585491,242,0
Austria,15/4/2021,1721394,219271,599284,245,0
Austria,16/4/2021,1755346,225425,613077,249,0
Austria,17/4/2021,1793560,230838,620137,250,0
Austria,18/4/2021,1831775,236251,627197,252,0
Austria,19/4/2021,1869989,241664,634258,254,0
Austria,20/4/2021,1908204,247077,641318,255,0
Austria,21/4/2021,1946418,252490,648379,257,0
Austria,22/4/2021,1984633,257903,655439,259,0
Austria,23/4/2021,2022848,263316,662500,261,0
Austria,24/4/2021,2062541,268958,668628,306,0
Austria,25/4/2021,2102234,274600,674756,352,0
Austria,26/4/2021,2141927,280243,680884,398,0
Austria,27/4/2021,2181620,285885,687012,443,0
Austria,28/4/2021,2221313,291528,693140,489,0
Austria,29/4/2021,2261006,297170,699268,535,0
Austria,30/4/2021,2300699,302813,705396,581,0
Austria,1/5/2021,2348683,309946,714492,1477,0
Austria,2/5/2021,2396667,317079,723588,2374,0
Austria,3/5/2021,2444651,324213,732684,3270,0
Austria,4/5/2021,2492635,331346,741780,4167,0
Austria,5/5/2021,2540619,338480,750876,5063,0
Austria,6/5/2021,2588603,345613,759972,5960,0
Austria,7/5/2021,2636587,352747,769068,6857,0
Austria,8/5/2021,2680251,360005,778339,7897,0
Austria,9/5/2021,2723916,367264,787610,8937,0
Austria,10/5/2021,2767580,374522,796881,9977,0
Austria,11/5/2021,2811245,381781,806153,11017,0
Austria,12/5/2021,2854909,389039,815424,12057,0
Austria,13/5/2021,2898574,396298,824695,13097,0
Austria,14/5/2021,2942239,403557,833967,14138,0
Austria,15/5/2021,2997440,413403,845179,15942,0
Austria,16/5/2021,3052641,423250,856392,17746,0
Austria,17/5/2021,3107842,433096,867605,19550,0
Austria,18/5/2021,3163043,442943,878817,21355,0
Austria,19/5/2021,3218244,452789,890030,23159,0
Austria,20/5/2021,3273445,462636,901243,24963,0
Austria,21/5/2021,3328647,472483,912456,26768,0
Austria,22/5/2021,3377718,480254,924367,28572,0
Austria,23/5/2021,3426789,488025,936279,30377,0
Austria,24/5/2021,3475860,495796,948190,32182,0
Austria,25/5/2021,3524931,503567,960102,33987,0
Austria,26/5/2021,3574002,511338,972013,35792,0
Austria,27/5/2021,3623073,519109,983925,37597,0
Austria,28/5/2021,3672144,526880,995837,39402,0
Austria,29/5/2021,3734749,534944,1005678,42452,0
Austria,30/5/2021,3797355,543009,1015519,45503,0
Austria,31/5/2021,3859961,551074,1025361,48554,0
Austria,1/6/2021,3922567,559138,1035202,51604,0
Austria,2/6/2021,3985173,567203,1045044,54655,0
Austria,3/6/2021,4047779,575268,1054885,57706,0
Austria,4/6/2021,4110385,583333,1064727,60757,0
Austria,5/6/2021,4175514,592487,1078395,64002,0
Austria,6/6/2021,4240644,601642,1092063,67248,0
Austria,7/6/2021,4305774,610797,1105731,70493,0
Austria,8/6/2021,4370904,619951,1119399,73739,0
Austria,9/6/2021,4436034,629106,1133067,76984,0
Austria,10/6/2021,4501164,638261,1146735,80230,0
Austria,11/6/2021,4566294,647416,1160404,83476,0
Austria,12/6/2021,4634982,654645,1167872,85699,0
Austria,13/6/2021,4703670,661875,1175340,87922,0
Austria,14/6/2021,4772358,669104,1182808,90145,0
Austria,15/6/2021,4841046,676334,1190276,92368,0
Austria,16/6/2021,4909734,683563,1197744,94591,0
Austria,17/6/2021,4978422,690793,1205212,96814,0
Austria,18/6/2021,5047110,698023,1212680,99038,0
Austria,19/6/2021,5115471,706133,1223234,100324,0
Austria,20/6/2021,5183832,714244,1233788,101611,0
Austria,21/6/2021,5252193,722354,1244343,102897,0
Austria,22/6/2021,5320554,730465,1254897,104184,0
Austria,23/6/2021,5388915,738575,1265452,105470,0
Austria,24/6/2021,5457276,746686,1276006,106757,0
