Country,Code,Year,OBS_VALUE
Afghanistan,AFG,2023,21466978.0
Afghanistan,AFG,2023,21565416.0
Afghanistan,AFG,2023,21716120.0
Afghanistan,AFG,2023,21763332.0
Afghanistan,AFG,2023,21893320.0
Afghanistan,AFG,2023,22085052.0
Afghanistan,AFG,2023,22102080.0
Afghanistan,AFG,2023,22207574.0
Afghanistan,AFG,2023,22495714.0
Afghanistan,AFG,2023,22606932.0
Afghanistan,AFG,2023,22964750.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,827175.0
Africa,,2021,827675.0
Africa,,2021,828175.0
Africa,,2021,828675.0
Africa,,2021,829675.0
Africa,,2021,830675.0
Africa,,2021,833675.0
Africa,,2021,835000.3
Africa,,2021,836325.7
Africa,,2021,837651.0
Africa,,2021,839838.0
Africa,,2021,841701.5
Africa,,2021,843565.0
Africa,,2021,845028.0
Africa,,2021,845796.0
Africa,,2021,846783.2
Africa,,2021,849854.9
Africa,,2021,852978.6
Africa,,2021,856419.4
Africa,,2021,903750.1
Africa,,2021,950434.9
Africa,,2021,994533.56
Africa,,2021,1076713.2
Africa,,2021,1142018.6
Africa,,2021,1200824.0
Africa,,2021,1251808.8
Africa,,2021,1315980.4
Africa,,2021,1379371.1
Africa,,2021,1430687.5
Africa,,2021,1482003.9
Africa,,2021,1556730.2
Africa,,2021,1698268.6
Africa,,2021,1818194.0
Africa,,2021,2084024.9
Africa,,2021,2369506.8
Africa,,2021,2536882.5
Africa,,2021,2704258.5
Africa,,2021,2914213.8
Africa,,2021,3104682.8
Africa,,2021,3274008.0
Africa,,2021,3423648.2
Africa,,2021,3560033.5
Africa,,2021,3655706.8
Africa,,2021,3757253.8
Africa,,2021,3894628.5
Africa,,2021,4227090.0
Africa,,2021,4540933.0
Africa,,2021,4818529.5
Africa,,2021,5037871.5
Africa,,2021,5180589.0
Africa,,2021,5328993.5
Africa,,2021,5553240.5
Africa,,2021,5787226.0
Africa,,2021,5996173.5
Africa,,2021,6224117.0
Africa,,2021,6487984.5
Africa,,2021,6650386.5
Africa,,2021,6794751.0
Africa,,2021,7027498.0
Africa,,2021,7359247.0
Africa,,2021,7633313.5
Africa,,2021,8028327.0
Africa,,2021,8408226.0
Africa,,2021,8633166.0
Africa,,2021,8911920.0
Africa,,2021,9231335.0
Africa,,2021,9507692.0
Africa,,2021,9750294.0
Africa,,2021,9998743.0
Africa,,2021,10195410.0
Africa,,2021,10358628.0
Africa,,2021,10521562.0
Africa,,2021,10738492.0
Africa,,2021,11188632.0
Africa,,2021,11607706.0
Africa,,2021,11972720.0
Africa,,2021,12263718.0
Africa,,2021,12507894.0
Africa,,2021,12763914.0
Africa,,2021,13101769.0
Africa,,2021,13439843.0
Africa,,2021,13796333.0
Africa,,2021,14054543.0
Africa,,2021,14291255.0
Africa,,2021,14502801.0
Africa,,2021,14712417.0
Africa,,2021,14990058.0
Africa,,2021,15278375.0
Africa,,2021,15624754.0
Africa,,2021,15909006.0
Africa,,2021,16189395.0
Africa,,2021,16417061.0
Africa,,2021,16664402.0
Africa,,2021,16917546.0
Africa,,2021,17205282.0
Africa,,2021,17478480.0
Africa,,2021,17773016.0
Africa,,2021,18057766.0
Africa,,2021,18275912.0
Africa,,2021,18499694.0
Africa,,2021,18741916.0
Africa,,2021,19007498.0
Africa,,2021,19238104.0
Africa,,2021,19466540.0
Africa,,2021,19683590.0
Africa,,2021,19890848.0
Africa,,2021,20106990.0
Africa,,2021,20426870.0
Africa,,2021,20849420.0
Africa,,2021,21118258.0
Africa,,2021,21342436.0
Africa,,2021,21548622.0
Africa,,2021,21756194.0
Africa,,2021,22005156.0
Africa,,2021,22420434.0
Africa,,2021,22782726.0
Africa,,2021,23107904.0
Africa,,2021,23758682.0
Africa,,2021,24070096.0
Africa,,2021,24414038.0
Africa,,2021,24759392.0
Africa,,2021,25230050.0
Africa,,2021,25631268.0
Africa,,2021,25916158.0
Africa,,2021,26190306.0
Africa,,2021,26646402.0
Africa,,2021,27054728.0
Africa,,2021,27489526.0
Africa,,2021,28143594.0
Africa,,2021,28876584.0
Africa,,2021,29542994.0
Africa,,2021,30196136.0
Africa,,2021,30667198.0
Africa,,2021,31098978.0
Africa,,2021,31581070.0
Africa,,2021,32435596.0
Africa,,2021,33059732.0
Africa,,2021,33704572.0
Africa,,2021,34309276.0
Africa,,2021,34833196.0
Africa,,2021,35332188.0
Africa,,2021,35883944.0
Africa,,2021,36501720.0
Africa,,2021,37127164.0
Africa,,2021,37829370.0
Africa,,2021,38270736.0
Africa,,2021,38632800.0
Africa,,2021,39102732.0
Africa,,2021,39644652.0
Africa,,2021,40472930.0
Africa,,2021,41187716.0
Africa,,2021,41828892.0
Africa,,2021,42427200.0
Africa,,2021,42785130.0
Africa,,2021,43277730.0
Africa,,2021,43830156.0
Africa,,2021,44436244.0
Africa,,2021,44909784.0
Africa,,2021,45521788.0
Africa,,2021,46078750.0
Africa,,2021,46446940.0
Africa,,2021,47048636.0
Africa,,2021,47663024.0
Africa,,2021,48214770.0
Africa,,2021,48745336.0
Africa,,2021,49311812.0
Africa,,2021,49894770.0
Africa,,2021,50261604.0
Africa,,2021,50740710.0
Africa,,2021,51141950.0
Africa,,2021,51702492.0
Africa,,2021,52315120.0
Africa,,2021,52868148.0
Africa,,2021,53305876.0
Africa,,2021,53680908.0
Africa,,2021,54091784.0
Africa,,2021,54582400.0
Africa,,2021,55044830.0
Africa,,2021,55602544.0
Africa,,2021,56139780.0
Africa,,2021,56700668.0
Africa,,2021,57065060.0
Africa,,2021,57473400.0
Africa,,2021,58192212.0
Africa,,2021,58914700.0
Africa,,2021,59693468.0
Africa,,2021,60760244.0
Africa,,2021,61076652.0
Africa,,2021,61389780.0
Africa,,2021,61651190.0
Africa,,2021,62394210.0
Africa,,2021,62958668.0
Africa,,2021,63638972.0
Africa,,2021,64352760.0
Africa,,2021,64895520.0
Africa,,2021,65190140.0
Africa,,2021,65512864.0
Africa,,2021,66416196.0
Africa,,2021,67493160.0
Africa,,2021,68645740.0
Africa,,2021,69793070.0
Africa,,2021,70458850.0
Africa,,2021,70961410.0
Africa,,2021,71385530.0
Africa,,2021,72114220.0
Africa,,2021,73908310.0
Africa,,2021,74754630.0
Africa,,2021,75571980.0
Africa,,2021,76454024.0
Africa,,2021,77110450.0
Africa,,2021,77714780.0
Africa,,2021,78789960.0
Africa,,2021,79486720.0
Africa,,2021,80680880.0
Africa,,2021,81989544.0
Africa,,2021,82887680.0
Africa,,2021,83525290.0
Africa,,2021,84378830.0
Africa,,2021,85771000.0
Africa,,2021,87367910.0
Africa,,2021,88921070.0
Africa,,2021,90510790.0
Africa,,2021,91689030.0
Africa,,2021,92876070.0
Africa,,2021,93801144.0
Africa,,2021,95476450.0
Africa,,2021,97336260.0
Africa,,2021,99057010.0
Africa,,2021,100848424.0
Africa,,2021,102663090.0
Africa,,2021,103731120.0
Africa,,2021,105546430.0
Africa,,2021,106900750.0
Africa,,2021,108382300.0
Africa,,2021,109963740.0
Africa,,2021,111448810.0
Africa,,2021,112734584.0
Africa,,2021,114340400.0
Africa,,2021,115462460.0
Africa,,2021,117415970.0
Africa,,2021,118497430.0
Africa,,2021,119605900.0
Africa,,2021,121133210.0
Africa,,2021,123221780.0
Africa,,2021,125269590.0
Africa,,2021,126666190.0
Africa,,2021,127943410.0
Africa,,2021,129292600.0
Africa,,2021,130464490.0
Africa,,2021,132711560.0
Africa,,2021,134049730.0
Africa,,2021,135361650.0
Africa,,2021,136712830.0
Africa,,2021,138178340.0
Africa,,2021,139666930.0
Africa,,2021,141192400.0
Africa,,2021,142859940.0
Africa,,2021,144151260.0
Africa,,2021,145404450.0
Africa,,2021,146839490.0
Africa,,2021,148359490.0
Africa,,2021,149683380.0
Africa,,2021,150941520.0
Africa,,2021,152206290.0
Africa,,2021,153584500.0
Africa,,2021,154920540.0
Africa,,2021,156123090.0
Africa,,2021,157427520.0
Africa,,2021,158794320.0
Africa,,2021,160316720.0
Africa,,2021,161657140.0
Africa,,2021,162918400.0
Africa,,2021,164077650.0
Africa,,2021,165264050.0
Africa,,2021,166620140.0
Africa,,2021,168230110.0
Africa,,2021,169957660.0
Africa,,2021,171412450.0
Africa,,2021,173133580.0
Africa,,2021,174640720.0
Africa,,2021,176146180.0
Africa,,2021,177714740.0
Africa,,2021,179247890.0
Africa,,2021,180789550.0
Africa,,2021,182248100.0
Africa,,2021,183943280.0
Africa,,2021,185457150.0
Africa,,2021,186907780.0
Africa,,2021,188933400.0
Africa,,2021,190980830.0
Africa,,2021,192633400.0
Africa,,2021,194240690.0
Africa,,2021,196033810.0
Africa,,2021,197708750.0
Africa,,2021,199173390.0
Africa,,2021,200613150.0
Africa,,2021,202000200.0
Africa,,2021,203359150.0
Africa,,2021,204744720.0
Africa,,2021,206136110.0
Africa,,2021,207406850.0
Africa,,2021,209133540.0
Africa,,2021,210915680.0
Africa,,2021,212740830.0
Africa,,2021,214599860.0
Africa,,2021,216415680.0
Africa,,2021,217964510.0
Africa,,2021,219457170.0
Africa,,2021,220802880.0
Africa,,2021,222292600.0
Africa,,2021,223757780.0
Africa,,2021,225253380.0
Africa,,2021,226658500.0
Africa,,2021,228234350.0
Africa,,2021,229902270.0
Africa,,2021,231698340.0
Africa,,2021,233625700.0
Africa,,2021,235669390.0
Africa,,2021,237881230.0
Africa,,2021,240142030.0
Africa,,2021,242158060.0
Africa,,2021,243947170.0
Africa,,2021,245609740.0
Africa,,2021,247729420.0
Africa,,2021,249865120.0
Africa,,2021,251802340.0
Africa,,2021,253879330.0
Africa,,2021,256536690.0
Africa,,2021,258075500.0
Africa,,2021,259519680.0
Africa,,2021,261152540.0
Africa,,2021,262873780.0
Africa,,2021,264594270.0
Africa,,2021,266262960.0
Africa,,2021,268318850.0
Africa,,2021,270158530.0
Africa,,2021,272021860.0
Africa,,2021,273997470.0
Africa,,2021,275989340.0
Africa,,2021,277960740.0
Africa,,2021,280460320.0
Africa,,2021,282836030.0
Africa,,2021,285146340.0
Africa,,2021,287450560.0
Africa,,2021,289955170.0
Africa,,2021,292549400.0
Africa,,2021,295121250.0
Africa,,2021,297453730.0
Africa,,2021,299361700.0
Africa,,2021,301150300.0
Africa,,2021,302885470.0
Africa,,2021,304462500.0
Africa,,2021,306095500.0
Africa,,2021,307779070.0
Africa,,2021,309422980.0
Africa,,2021,311472060.0
Africa,,2022,313214750.0
Africa,,2022,314518980.0
Africa,,2022,316098530.0
Africa,,2022,317730560.0
Africa,,2022,319087200.0
Africa,,2022,320613800.0
Africa,,2022,322839940.0
Africa,,2022,324791300.0
Africa,,2022,326635680.0
Africa,,2022,328331780.0
Africa,,2022,329772860.0
Africa,,2022,331242880.0
Africa,,2022,332972030.0
Africa,,2022,334904830.0
Africa,,2022,336646800.0
Africa,,2022,338820480.0
Africa,,2022,341164540.0
Africa,,2022,342860800.0
Africa,,2022,344477220.0
Africa,,2022,345863940.0
Africa,,2022,347257900.0
Africa,,2022,348586940.0
Africa,,2022,349840480.0
Africa,,2022,351061500.0
Africa,,2022,352402080.0
Africa,,2022,353918500.0
Africa,,2022,355346750.0
Africa,,2022,356665760.0
Africa,,2022,357926180.0
Africa,,2022,359193950.0
Africa,,2022,360669860.0
Africa,,2022,362492030.0
Africa,,2022,364256480.0
Africa,,2022,365913900.0
Africa,,2022,367559460.0
Africa,,2022,369203170.0
Africa,,2022,370781900.0
Africa,,2022,372268770.0
Africa,,2022,373585570.0
Africa,,2022,374946270.0
Africa,,2022,376370460.0
Africa,,2022,377811400.0
Africa,,2022,379239600.0
Africa,,2022,380577100.0
Africa,,2022,381985860.0
Africa,,2022,383426240.0
Africa,,2022,385910430.0
Africa,,2022,388621440.0
Africa,,2022,391406620.0
Africa,,2022,394700450.0
Africa,,2022,397354000.0
Africa,,2022,400413950.0
Africa,,2022,403354370.0
Africa,,2022,405515680.0
Africa,,2022,407655680.0
Africa,,2022,409020350.0
Africa,,2022,411027070.0
Africa,,2022,412241400.0
Africa,,2022,413625020.0
Africa,,2022,414838660.0
Africa,,2022,416636130.0
Africa,,2022,418033660.0
Africa,,2022,419539650.0
Africa,,2022,420692830.0
Africa,,2022,421807330.0
Africa,,2022,423246900.0
Africa,,2022,424652960.0
Africa,,2022,425933380.0
Africa,,2022,426913600.0
Africa,,2022,428000400.0
Africa,,2022,428807330.0
Africa,,2022,429615740.0
Africa,,2022,430484500.0
Africa,,2022,431434940.0
Africa,,2022,432405920.0
Africa,,2022,433347620.0
Africa,,2022,434254200.0
Africa,,2022,435217920.0
Africa,,2022,436107500.0
Africa,,2022,436900260.0
Africa,,2022,437751550.0
Africa,,2022,438691360.0
Africa,,2022,439726660.0
Africa,,2022,440753860.0
Africa,,2022,441715940.0
Africa,,2022,442574750.0
Africa,,2022,443562240.0
Africa,,2022,444566140.0
Africa,,2022,446123200.0
Africa,,2022,447689730.0
Africa,,2022,448814980.0
Africa,,2022,449893440.0
Africa,,2022,450939550.0
Africa,,2022,451962720.0
Africa,,2022,452954750.0
Africa,,2022,453969630.0
Africa,,2022,455007070.0
Africa,,2022,456012800.0
Africa,,2022,457046140.0
Africa,,2022,457920420.0
Africa,,2022,458551420.0
Africa,,2022,459241820.0
Africa,,2022,459883740.0
Africa,,2022,460542720.0
Africa,,2022,461168740.0
Africa,,2022,461755550.0
Africa,,2022,462337150.0
Africa,,2022,462917820.0
Africa,,2022,463510140.0
Africa,,2022,464132480.0
Africa,,2022,464795300.0
Africa,,2022,465448420.0
Africa,,2022,466104260.0
Africa,,2022,466661980.0
Africa,,2022,467422980.0
Africa,,2022,468240480.0
Africa,,2022,469616860.0
Africa,,2022,470970000.0
Africa,,2022,472364640.0
Africa,,2022,473731140.0
Africa,,2022,474990100.0
Africa,,2022,475700160.0
Africa,,2022,476416600.0
Africa,,2022,477218300.0
Africa,,2022,478050100.0
Africa,,2022,478886750.0
Africa,,2022,479738140.0
Africa,,2022,480541660.0
Africa,,2022,481141760.0
Africa,,2022,481894370.0
Africa,,2022,482618500.0
Africa,,2022,483385800.0
Africa,,2022,484116400.0
Africa,,2022,484912500.0
Africa,,2022,485726700.0
Africa,,2022,487183650.0
Africa,,2022,488655970.0
Africa,,2022,490184770.0
Africa,,2022,491664740.0
Africa,,2022,493132350.0
Africa,,2022,494648830.0
Africa,,2022,496110530.0
Africa,,2022,497018900.0
Africa,,2022,497984060.0
Africa,,2022,498947230.0
Africa,,2022,499912860.0
Africa,,2022,501039260.0
Africa,,2022,501950270.0
