REF_AREA,Reference area,Health function,Price base,TIME_PERIOD,OBS_VALUE
LUX,Luxembourg,COVID-19 related treatment costs,Constant prices,2020,4.138090278499451
LUX,Luxembourg,COVID-19 related costs for vaccination,Constant prices,2020,0.14149956227369942
LVA,Latvia,COVID-19 related treatment costs,Constant prices,2020,3.7043836406499016
LVA,Latvia,COVID-19 related costs for medical goods,Constant prices,2020,2.12835074638271
LVA,Latvia,COVID-19 related costs for vaccination,Constant prices,2020,0.1587116911548208
MLT,Malta,COVID-19 related costs for medical goods,Constant prices,2020,3.991019011654644
MLT,Malta,COVID-19 related treatment costs,Constant prices,2020,2.0635661925215456
MLT,Malta,COVID-19 related costs for vaccination,Constant prices,2020,1.6315907170752337
NLD,Netherlands,COVID-19 related investment costs,Constant prices,2020,6.638935522591416
NLD,Netherlands,COVID-19 related treatment costs,Constant prices,2020,8.353925511086272
NLD,Netherlands,COVID-19 related costs for medical goods,Constant prices,2020,5.754301302555319
AUS,Australia,COVID-19 related investment costs,Current prices,2020,5.928258471204189
AUS,Australia,COVID-19 related treatment costs,Current prices,2020,8.366884355579817
AUS,Australia,COVID-19 related costs for vaccination,Current prices,2020,6.4112187448464235
AUS,Australia,COVID-19 related costs for medical goods,Current prices,2020,7.399565041870066
AUT,Austria,COVID-19 related costs for medical goods,Current prices,2020,5.146080687186037
AUT,Austria,COVID-19 related treatment costs,Current prices,2020,3.5621250457684375
AUT,Austria,COVID-19 related costs for vaccination,Current prices,2020,0.7929925155296614
BEL,Belgium,COVID-19 related treatment costs,Current prices,2020,6.604106413008277
BEL,Belgium,COVID-19 related costs for medical goods,Current prices,2020,7.901122230544302
BGR,Bulgaria,COVID-19 related costs for medical goods,Current prices,2020,3.7363353952702316
BGR,Bulgaria,COVID-19 related treatment costs,Current prices,2020,6.592734897168761
CAN,Canada,COVID-19 related costs for vaccination,Current prices,2020,8.87495574369454
CAN,Canada,COVID-19 related costs for medical goods,Current prices,2020,8.999247172649174
CAN,Canada,COVID-19 related treatment costs,Current prices,2020,8.97520584034927
CHL,Chile,COVID-19 related costs for vaccination,Current prices,2020,3.939112742618239
CHL,Chile,COVID-19 related investment costs,Current prices,2020,5.64587790015467
CHL,Chile,COVID-19 related costs for medical goods,Current prices,2020,6.994719821541719
COL,Colombia,COVID-19 related costs for medical goods,Current prices,2020,5.444705135659062
CRI,Costa Rica,COVID-19 related treatment costs,Current prices,2020,5.774744073593545
CYP,Cyprus,COVID-19 related costs for vaccination,Current prices,2020,1.1546775126010584
CYP,Cyprus,COVID-19 related costs for medical goods,Current prices,2020,2.1591765096986895
CYP,Cyprus,COVID-19 related investment costs,Current prices,2020,0.26236426446749106
CYP,Cyprus,COVID-19 related treatment costs,Current prices,2020,1.173101140658849
CZE,Czechia,COVID-19 related investment costs,Current prices,2020,3.444065281889331
CZE,Czechia,COVID-19 related treatment costs,Current prices,2020,7.997304959321484
CZE,Czechia,COVID-19 related costs for medical goods,Current prices,2020,6.482394559254884
CZE,Czechia,COVID-19 related costs for vaccination,Current prices,2020,0.211880359035499
DEU,Germany,COVID-19 related treatment costs,Current prices,2020,7.189359418161795
DEU,Germany,COVID-19 related costs for vaccination,Current prices,2020,1.662409797200206
DEU,Germany,COVID-19 related investment costs,Current prices,2020,6.959668181372996
DEU,Germany,COVID-19 related costs for medical goods,Current prices,2020,7.888558031642732
DNK,Denmark,COVID-19 related costs for vaccination,Current prices,2020,2.903836258849454
DNK,Denmark,COVID-19 related costs for medical goods,Current prices,2020,5.488714560761274
DNK,Denmark,COVID-19 related treatment costs,Current prices,2020,4.4181897936533705
ESP,Spain,COVID-19 related treatment costs,Current prices,2020,9.345401194426419
ESP,Spain,COVID-19 related investment costs,Current prices,2020,7.330225641332019
ESP,Spain,COVID-19 related costs for medical goods,Current prices,2020,2.8081368342573283
ESP,Spain,COVID-19 related costs for vaccination,Current prices,2020,2.1705383120737136
EST,Estonia,COVID-19 related costs for medical goods,Current prices,2020,4.142070668419094
EST,Estonia,COVID-19 related investment costs,Current prices,2020,1.7549225791760812
EST,Estonia,COVID-19 related costs for vaccination,Current prices,2020,0.20375683751401963
EST,Estonia,COVID-19 related treatment costs,Current prices,2020,2.664794692431253
FIN,Finland,COVID-19 related costs for vaccination,Current prices,2020,0.21591750622247025
FIN,Finland,COVID-19 related investment costs,Current prices,2020,3.4987474752280048
FIN,Finland,COVID-19 related costs for medical goods,Current prices,2020,3.21711427424854
FIN,Finland,COVID-19 related treatment costs,Current prices,2020,4.052567250420455
FRA,France,COVID-19 related costs for medical goods,Current prices,2020,8.166498047070677
FRA,France,COVID-19 related treatment costs,Current prices,2020,8.66400725252404
GBR,United Kingdom,COVID-19 related costs for vaccination,Current prices,2020,4.621574890013369
HRV,Croatia,COVID-19 related costs for medical goods,Current prices,2020,2.510005683843019
HRV,Croatia,COVID-19 related treatment costs,Current prices,2020,5.779251662792079
ISL,Iceland,COVID-19 related investment costs,Current prices,2020,1.9268729430352292
ISL,Iceland,COVID-19 related treatment costs,Current prices,2020,3.5649305736447574
ISL,Iceland,COVID-19 related costs for medical goods,Current prices,2020,2.2844211223663744
ISR,Israel,COVID-19 related costs for vaccination,Current prices,2020,5.170489676840192
ISR,Israel,COVID-19 related investment costs,Current prices,2020,6.541599822379814
ISR,Israel,COVID-19 related costs for medical goods,Current prices,2020,5.706392399171605
ISR,Israel,COVID-19 related treatment costs,Current prices,2020,6.778839503702773
JPN,Japan,COVID-19 related investment costs,Current prices,2020,5.72888475941703
JPN,Japan,COVID-19 related costs for medical goods,Current prices,2020,4.050706105192271
JPN,Japan,COVID-19 related costs for vaccination,Current prices,2020,6.150809570089064
JPN,Japan,COVID-19 related treatment costs,Current prices,2020,7.098853210485586
KOR,Korea,COVID-19 related investment costs,Current prices,2020,4.688048868480836
KOR,Korea,COVID-19 related treatment costs,Current prices,2020,5.990228783867016
KOR,Korea,COVID-19 related costs for medical goods,Current prices,2020,6.824659498755385
LTU,Lithuania,COVID-19 related treatment costs,Current prices,2020,1.9413282395502016
LTU,Lithuania,COVID-19 related costs for medical goods,Current prices,2020,4.918081312485648
LTU,Lithuania,COVID-19 related costs for vaccination,Current prices,2020,1.199964782928397
LUX,Luxembourg,COVID-19 related costs for vaccination,Current prices,2020,0.1570037488096647
LUX,Luxembourg,COVID-19 related costs for medical goods,Current prices,2020,3.38021205525302
LUX,Luxembourg,COVID-19 related treatment costs,Current prices,2020,4.24539042709588
LVA,Latvia,COVID-19 related costs for vaccination,Current prices,2020,0.1839868361130158
LVA,Latvia,COVID-19 related treatment costs,Current prices,2020,3.861634564694918
LVA,Latvia,COVID-19 related costs for medical goods,Current prices,2020,2.2715071374231846
MLT,Malta,COVID-19 related costs for vaccination,Current prices,2020,1.728642159912577
MLT,Malta,COVID-19 related costs for medical goods,Current prices,2020,4.1083789511859035
MLT,Malta,COVID-19 related treatment costs,Current prices,2020,2.168596452990729
NLD,Netherlands,COVID-19 related investment costs,Current prices,2020,6.807772499567366
NLD,Netherlands,COVID-19 related treatment costs,Current prices,2020,8.522929507252169
NLD,Netherlands,COVID-19 related costs for medical goods,Current prices,2020,5.9228483903694045
AUS,Australia,COVID-19 related costs for vaccination,Constant prices,2021,8.130570838309497
AUS,Australia,COVID-19 related costs for medical goods,Constant prices,2021,7.289181077717569
AUS,Australia,COVID-19 related treatment costs,Constant prices,2021,8.496897826744933
AUS,Australia,COVID-19 related investment costs,Constant prices,2021,5.635824781472974
AUT,Austria,COVID-19 related costs for medical goods,Constant prices,2021,5.365714298534089
AUT,Austria,COVID-19 related treatment costs,Constant prices,2021,4.44979041780777
AUT,Austria,COVID-19 related costs for vaccination,Constant prices,2021,6.461233773883605
BEL,Belgium,COVID-19 related costs for vaccination,Constant prices,2021,6.295260466368977
BEL,Belgium,COVID-19 related costs for medical goods,Constant prices,2021,7.0113744794302475
BEL,Belgium,COVID-19 related treatment costs,Constant prices,2021,6.7249796190989795
BGR,Bulgaria,COVID-19 related costs for vaccination,Constant prices,2021,5.048772086686499
BGR,Bulgaria,COVID-19 related investment costs,Constant prices,2021,3.7107387884668297
BGR,Bulgaria,COVID-19 related treatment costs,Constant prices,2021,7.353367593992592
BGR,Bulgaria,COVID-19 related costs for medical goods,Constant prices,2021,4.04060969312413
CAN,Canada,COVID-19 related treatment costs,Constant prices,2021,9.089727912272135
CAN,Canada,COVID-19 related costs for vaccination,Constant prices,2021,8.192716005663893
CAN,Canada,COVID-19 related costs for medical goods,Constant prices,2021,7.624388979241085
CHL,Chile,COVID-19 related investment costs,Constant prices,2021,4.6840645422507725
CHL,Chile,COVID-19 related costs for medical goods,Constant prices,2021,7.112848906118289
COL,Colombia,COVID-19 related costs for vaccination,Constant prices,2021,7.853607143192209
COL,Colombia,COVID-19 related treatment costs,Constant prices,2021,7.05686987040569
CRI,Costa Rica,COVID-19 related costs for vaccination,Constant prices,2021,4.457690538594871
CRI,Costa Rica,COVID-19 related treatment costs,Constant prices,2021,6.62921132644138
CRI,Costa Rica,COVID-19 related costs for medical goods,Constant prices,2021,0.06578774053800315
CRI,Costa Rica,COVID-19 related investment costs,Constant prices,2021,2.478637036774405
CYP,Cyprus,COVID-19 related investment costs,Constant prices,2021,0.07973496801885352
CYP,Cyprus,COVID-19 related costs for vaccination,Constant prices,2021,3.5982159617165896
CYP,Cyprus,COVID-19 related treatment costs,Constant prices,2021,3.0971600661841046
CYP,Cyprus,COVID-19 related costs for medical goods,Constant prices,2021,0.49956243148728
CZE,Czechia,COVID-19 related investment costs,Constant prices,2021,1.873493054254725
CZE,Czechia,COVID-19 related costs for vaccination,Constant prices,2021,6.693822924042356
CZE,Czechia,COVID-19 related treatment costs,Constant prices,2021,7.411713375170184
