REF_AREA,Reference area,Health function,Price base,TIME_PERIOD,OBS_VALUE
CRI,Costa Rica,COVID-19 related costs for vaccination,Constant prices,2022,3.8287066117538378
CRI,Costa Rica,COVID-19 related treatment costs,Constant prices,2022,1.4499731377830734
CRI,Costa Rica,COVID-19 related costs for medical goods,Constant prices,2022,0.16296882827813972
CRI,Costa Rica,COVID-19 related investment costs,Constant prices,2022,1.2187628897985714
CYP,Cyprus,COVID-19 related costs for vaccination,Constant prices,2022,3.51734945839818
CYP,Cyprus,COVID-19 related treatment costs,Constant prices,2022,3.424360369688583
CYP,Cyprus,COVID-19 related investment costs,Constant prices,2022,0.06765864847381486
CYP,Cyprus,COVID-19 related costs for medical goods,Constant prices,2022,2.222459048514761
CZE,Czechia,COVID-19 related costs for vaccination,Constant prices,2022,6.507043356567623
CZE,Czechia,COVID-19 related investment costs,Constant prices,2022,0.9685036033210893
CZE,Czechia,COVID-19 related treatment costs,Constant prices,2022,5.364783715730411
DEU,Germany,COVID-19 related costs for medical goods,Constant prices,2022,7.011333908022535
DEU,Germany,COVID-19 related costs for vaccination,Constant prices,2022,9.239660310740662
DEU,Germany,COVID-19 related investment costs,Constant prices,2022,6.987330492782054
DEU,Germany,COVID-19 related treatment costs,Constant prices,2022,3.8964422534611227
DNK,Denmark,COVID-19 related treatment costs,Constant prices,2022,4.553013360970526
DNK,Denmark,COVID-19 related costs for medical goods,Constant prices,2022,4.522733782375623
DNK,Denmark,COVID-19 related costs for vaccination,Constant prices,2022,5.184818266721304
EST,Estonia,COVID-19 related treatment costs,Constant prices,2022,3.8481455990393854
EST,Estonia,COVID-19 related costs for medical goods,Constant prices,2022,3.2085830353827687
EST,Estonia,COVID-19 related investment costs,Constant prices,2022,0.2821668917636708
EST,Estonia,COVID-19 related costs for vaccination,Constant prices,2022,3.3271201782658397
FRA,France,COVID-19 related treatment costs,Constant prices,2022,6.504813484638402
FRA,France,COVID-19 related costs for vaccination,Constant prices,2022,6.504021670962121
FRA,France,COVID-19 related costs for medical goods,Constant prices,2022,6.249421034660764
GBR,United Kingdom,COVID-19 related costs for vaccination,Constant prices,2022,7.987745583121028
GBR,United Kingdom,COVID-19 related costs for medical goods,Constant prices,2022,7.731354240025235
GRC,Greece,COVID-19 related costs for vaccination,Constant prices,2022,6.5515802100850555
HRV,Croatia,COVID-19 related investment costs,Constant prices,2022,0.3660310388627573
HRV,Croatia,COVID-19 related treatment costs,Constant prices,2022,5.331718292931786
HRV,Croatia,COVID-19 related costs for vaccination,Constant prices,2022,4.90834413720779
HRV,Croatia,COVID-19 related costs for medical goods,Constant prices,2022,1.5824777308513172
IRL,Ireland,COVID-19 related costs for vaccination,Constant prices,2022,5.774324811767714
ISL,Iceland,COVID-19 related investment costs,Constant prices,2022,0.4330802751411378
ISL,Iceland,COVID-19 related treatment costs,Constant prices,2022,4.207301154501555
ISL,Iceland,COVID-19 related costs for vaccination,Constant prices,2022,2.5858072347237333
KOR,Korea,COVID-19 related treatment costs,Constant prices,2022,8.296208557960869
KOR,Korea,COVID-19 related costs for vaccination,Constant prices,2022,8.146162263112206
KOR,Korea,COVID-19 related investment costs,Constant prices,2022,5.4972460911140395
KOR,Korea,COVID-19 related costs for medical goods,Constant prices,2022,6.562229381379144
LTU,Lithuania,COVID-19 related investment costs,Constant prices,2022,0.10436001532424286
LTU,Lithuania,COVID-19 related costs for vaccination,Constant prices,2022,1.249615162204637
LUX,Luxembourg,COVID-19 related treatment costs,Constant prices,2022,3.3322402238231783
LUX,Luxembourg,COVID-19 related investment costs,Constant prices,2022,2.1935511719699106
LUX,Luxembourg,COVID-19 related costs for medical goods,Constant prices,2022,2.004852684688763
LUX,Luxembourg,COVID-19 related costs for vaccination,Constant prices,2022,3.663484720093992
LVA,Latvia,COVID-19 related treatment costs,Constant prices,2022,5.338321426651119
LVA,Latvia,COVID-19 related costs for medical goods,Constant prices,2022,0.8883026953339863
LVA,Latvia,COVID-19 related costs for vaccination,Constant prices,2022,2.0335284846654296
MLT,Malta,COVID-19 related costs for medical goods,Constant prices,2022,2.797098391267731
MLT,Malta,COVID-19 related treatment costs,Constant prices,2022,2.1765682524105587
MLT,Malta,COVID-19 related costs for vaccination,Constant prices,2022,3.072276561193777
NLD,Netherlands,COVID-19 related costs for vaccination,Constant prices,2022,6.359430259745192
NLD,Netherlands,COVID-19 related treatment costs,Constant prices,2022,5.877534080767089
NLD,Netherlands,COVID-19 related costs for medical goods,Constant prices,2022,5.72385303991001
NOR,Norway,COVID-19 related costs for vaccination,Constant prices,2022,4.126553571244116
POL,Poland,COVID-19 related costs for vaccination,Constant prices,2022,7.449255974932376
POL,Poland,COVID-19 related costs for medical goods,Constant prices,2022,0.3386128011203239
POL,Poland,COVID-19 related treatment costs,Constant prices,2022,8.513953750087362
POL,Poland,COVID-19 related investment costs,Constant prices,2022,6.631935899072868
ROU,Romania,COVID-19 related costs for vaccination,Constant prices,2022,6.0339084256629745
SWE,Sweden,COVID-19 related costs for vaccination,Constant prices,2022,4.998326517628658
AUT,Austria,COVID-19 related costs for medical goods,Current prices,2022,5.052333704451931
AUT,Austria,COVID-19 related treatment costs,Current prices,2022,4.62479632712327
AUT,Austria,COVID-19 related costs for vaccination,Current prices,2022,6.047225596199518
BEL,Belgium,COVID-19 related treatment costs,Current prices,2022,6.493233280783716
BEL,Belgium,COVID-19 related costs for medical goods,Current prices,2022,7.004194820817021
BEL,Belgium,COVID-19 related costs for vaccination,Current prices,2022,5.310359567320824
BGR,Bulgaria,COVID-19 related costs for medical goods,Current prices,2022,3.4981728407855415
BGR,Bulgaria,COVID-19 related treatment costs,Current prices,2022,6.57035341038699
BGR,Bulgaria,COVID-19 related costs for vaccination,Current prices,2022,4.043857959914843
BGR,Bulgaria,COVID-19 related investment costs,Current prices,2022,2.2760357577605093
CAN,Canada,COVID-19 related costs for medical goods,Current prices,2022,7.700165724689534
CAN,Canada,COVID-19 related treatment costs,Current prices,2022,7.676132837277213
CAN,Canada,COVID-19 related costs for vaccination,Current prices,2022,7.575917929347913
CHL,Chile,COVID-19 related costs for medical goods,Current prices,2022,6.92327325003848
CHL,Chile,COVID-19 related investment costs,Current prices,2022,0.8956797779700306
COL,Colombia,COVID-19 related costs for vaccination,Current prices,2022,6.792418498801535
COL,Colombia,COVID-19 related treatment costs,Current prices,2022,6.2886407820275165
CRI,Costa Rica,COVID-19 related costs for medical goods,Current prices,2022,0.1939206926373065
CRI,Costa Rica,COVID-19 related treatment costs,Current prices,2022,1.599589576379286
CRI,Costa Rica,COVID-19 related investment costs,Current prices,2022,1.3571229838196106
CRI,Costa Rica,COVID-19 related costs for vaccination,Current prices,2022,4.016220845440522
CYP,Cyprus,COVID-19 related costs for vaccination,Current prices,2022,3.764705592231933
CYP,Cyprus,COVID-19 related costs for medical goods,Current prices,2022,2.4518667957098
CYP,Cyprus,COVID-19 related investment costs,Current prices,2022,0.08617769624105241
CYP,Cyprus,COVID-19 related treatment costs,Current prices,2022,3.671046385962144
CZE,Czechia,COVID-19 related investment costs,Current prices,2022,1.1755733298042381
CZE,Czechia,COVID-19 related treatment costs,Current prices,2022,5.679158443047434
CZE,Czechia,COVID-19 related costs for vaccination,Current prices,2022,6.8222779973934635
DEU,Germany,COVID-19 related costs for medical goods,Current prices,2022,7.301013518837235
DEU,Germany,COVID-19 related treatment costs,Current prices,2022,4.181225375133057
DEU,Germany,COVID-19 related costs for vaccination,Current prices,2022,9.529542186846642
DEU,Germany,COVID-19 related investment costs,Current prices,2022,7.277004435117287
DNK,Denmark,COVID-19 related costs for vaccination,Current prices,2022,5.456977861853123
DNK,Denmark,COVID-19 related costs for medical goods,Current prices,2022,4.793622908712286
DNK,Denmark,COVID-19 related treatment costs,Current prices,2022,4.823992413818741
EST,Estonia,COVID-19 related costs for medical goods,Current prices,2022,3.4476673960470063
EST,Estonia,COVID-19 related investment costs,Current prices,2022,0.34854196070854343
EST,Estonia,COVID-19 related costs for vaccination,Current prices,2022,3.5671919308568323
EST,Estonia,COVID-19 related treatment costs,Current prices,2022,4.091440349074711
FRA,France,COVID-19 related costs for medical goods,Current prices,2022,6.548097318842714
FRA,France,COVID-19 related treatment costs,Current prices,2022,6.803602922095388
FRA,France,COVID-19 related costs for vaccination,Current prices,2022,6.802811343209527
GBR,United Kingdom,COVID-19 related costs for vaccination,Current prices,2022,8.247625000871041
GBR,United Kingdom,COVID-19 related costs for medical goods,Current prices,2022,7.991211289337197
GRC,Greece,COVID-19 related costs for vaccination,Current prices,2022,6.790931533060192
HRV,Croatia,COVID-19 related costs for vaccination,Current prices,2022,5.171358612448812
HRV,Croatia,COVID-19 related costs for medical goods,Current prices,2022,1.798238435325764
HRV,Croatia,COVID-19 related treatment costs,Current prices,2022,5.595324574459068
HRV,Croatia,COVID-19 related investment costs,Current prices,2022,0.4548899914356874
IRL,Ireland,COVID-19 related costs for vaccination,Current prices,2022,5.990046041504449
ISL,Iceland,COVID-19 related costs for vaccination,Current prices,2022,2.814689898258417
ISL,Iceland,COVID-19 related investment costs,Current prices,2022,0.5259112611840315
ISL,Iceland,COVID-19 related treatment costs,Current prices,2022,4.449510034147628
KOR,Korea,COVID-19 related treatment costs,Current prices,2022,8.417535936758311
KOR,Korea,COVID-19 related investment costs,Current prices,2022,5.618133805122508
KOR,Korea,COVID-19 related costs for vaccination,Current prices,2022,8.267484901176227
KOR,Korea,COVID-19 related costs for medical goods,Current prices,2022,6.683423522031118
LTU,Lithuania,COVID-19 related costs for vaccination,Current prices,2022,1.4772770088317615
LTU,Lithuania,COVID-19 related investment costs,Current prices,2022,0.13889199886661865
LUX,Luxembourg,COVID-19 related costs for vaccination,Current prices,2022,3.8864795309574487
LUX,Luxembourg,COVID-19 related costs for medical goods,Current prices,2022,2.2053029701874918
LUX,Luxembourg,COVID-19 related investment costs,Current prices,2022,2.3987131200882663
LUX,Luxembourg,COVID-19 related treatment costs,Current prices,2022,3.5531742719485613
LVA,Latvia,COVID-19 related costs for vaccination,Current prices,2022,2.27706213576296
LVA,Latvia,COVID-19 related treatment costs,Current prices,2022,5.61263893566869
LVA,Latvia,COVID-19 related costs for medical goods,Current prices,2022,1.0591782194227026
MLT,Malta,COVID-19 related costs for vaccination,Current prices,2022,3.285562038063231
MLT,Malta,COVID-19 related costs for medical goods,Current prices,2022,3.007413778327829
MLT,Malta,COVID-19 related treatment costs,Current prices,2022,2.3762072328646595
NLD,Netherlands,COVID-19 related treatment costs,Current prices,2022,6.184872340524919
NLD,Netherlands,COVID-19 related costs for medical goods,Current prices,2022,6.031064995844887
NLD,Netherlands,COVID-19 related costs for vaccination,Current prices,2022,6.667050935580298
NOR,Norway,COVID-19 related costs for vaccination,Current prices,2022,4.432624687436973
POL,Poland,COVID-19 related costs for vaccination,Current prices,2022,7.704810570971337
POL,Poland,COVID-19 related costs for medical goods,Current prices,2022,0.4193680132771557
POL,Poland,COVID-19 related investment costs,Current prices,2022,6.887324994750548
POL,Poland,COVID-19 related treatment costs,Current prices,2022,8.769594140330875
ROU,Romania,COVID-19 related costs for vaccination,Current prices,2022,6.406414531227361
SWE,Sweden,COVID-19 related costs for vaccination,Current prices,2022,5.277645161278498
COL,Colombia,COVID-19 related costs for vaccination,Constant prices,2023,5.945438933046011
DEU,Germany,COVID-19 related costs for medical goods,Constant prices,2023,4.489254156390748
DEU,Germany,COVID-19 related costs for vaccination,Constant prices,2023,7.231972008443086
DEU,Germany,COVID-19 related investment costs,Constant prices,2023,5.428779679361494
DEU,Germany,COVID-19 related treatment costs,Constant prices,2023,2.334374415483453
KOR,Korea,COVID-19 related treatment costs,Constant prices,2023,6.17107827437177
KOR,Korea,COVID-19 related costs for vaccination,Constant prices,2023,6.823348144371346
KOR,Korea,COVID-19 related costs for medical goods,Constant prices,2023,5.570289176544168
LUX,Luxembourg,COVID-19 related treatment costs,Constant prices,2023,0.39339252687389514
LUX,Luxembourg,COVID-19 related costs for vaccination,Constant prices,2023,1.8418186691007918
COL,Colombia,COVID-19 related costs for vaccination,Current prices,2023,6.267077201275957
DEU,Germany,COVID-19 related costs for medical goods,Current prices,2023,4.832090595983798
DEU,Germany,COVID-19 related treatment costs,Current prices,2023,2.651761996755421
DEU,Germany,COVID-19 related costs for vaccination,Current prices,2023,7.577884057179311
DEU,Germany,COVID-19 related investment costs,Current prices,2023,5.7736194342449805
KOR,Korea,COVID-19 related treatment costs,Current prices,2023,6.307630208043783
KOR,Korea,COVID-19 related costs for vaccination,Current prices,2023,6.960027943630033
KOR,Korea,COVID-19 related costs for medical goods,Current prices,2023,5.706621773363361
LUX,Luxembourg,COVID-19 related costs for vaccination,Current prices,2023,2.077564781666976
LUX,Luxembourg,COVID-19 related treatment costs,Current prices,2023,0.49103099643781106
