STRUCTURE_NAME,ACTION,COUNTRY,Country,WEEK,GENDER,AGE,Age,VARIABLE,Variable,Year,Deaths,Observation Value,Month,Expenditure
"Mortality, by week",I,AUS,Australia,47,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,12,10.66
"Mortality, by week",I,AUS,Australia,48,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1,,12,10.66
"Mortality, by week",I,AUS,Australia,49,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1,,12,10.66
"Mortality, by week",I,AUS,Australia,50,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,12,10.66
"Mortality, by week",I,AUS,Australia,51,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,12,10.66
"Mortality, by week",I,AUS,Australia,52,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1,,12,10.66
"Mortality, by week",I,AUS,Australia,53,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2,,12,10.66
"Mortality, by week",I,AUT,Austria,9,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,3,11.316
"Mortality, by week",I,AUT,Austria,10,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,3,11.316
"Mortality, by week",I,AUT,Austria,11,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2,,3,11.316
"Mortality, by week",I,AUT,Austria,12,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,30,,3,11.316
"Mortality, by week",I,AUT,Austria,13,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,101,,4,11.316
"Mortality, by week",I,AUT,Austria,14,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,126,,4,11.316
"Mortality, by week",I,AUT,Austria,15,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,150,,4,11.316
"Mortality, by week",I,AUT,Austria,16,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,120,,4,11.316
"Mortality, by week",I,AUT,Austria,17,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,78,,5,11.316
"Mortality, by week",I,AUT,Austria,18,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,51,,5,11.316
"Mortality, by week",I,AUT,Austria,19,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,32,,5,11.316
"Mortality, by week",I,AUT,Austria,20,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,15,,5,11.316
"Mortality, by week",I,AUT,Austria,21,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,17,,6,11.316
"Mortality, by week",I,AUT,Austria,22,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,15,,6,11.316
"Mortality, by week",I,AUT,Austria,23,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,15,,6,11.316
"Mortality, by week",I,AUT,Austria,24,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,15,,6,11.316
"Mortality, by week",I,AUT,Austria,25,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,17,,7,11.316
"Mortality, by week",I,AUT,Austria,26,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,17,,7,11.316
"Mortality, by week",I,AUT,Austria,27,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,9,,7,11.316
"Mortality, by week",I,AUT,Austria,28,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,7,,7,11.316
"Mortality, by week",I,AUT,Austria,29,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,10,,8,11.316
"Mortality, by week",I,AUT,Austria,30,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,8,,8,11.316
"Mortality, by week",I,AUT,Austria,31,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,17,,8,11.316
"Mortality, by week",I,AUT,Austria,32,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,12,,8,11.316
"Mortality, by week",I,AUT,Austria,33,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,10,,9,11.316
"Mortality, by week",I,AUT,Austria,34,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,13,,9,11.316
"Mortality, by week",I,AUT,Austria,35,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,6,,9,11.316
"Mortality, by week",I,AUT,Austria,36,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,16,,9,11.316
"Mortality, by week",I,AUT,Austria,37,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,15,,10,11.316
"Mortality, by week",I,AUT,Austria,38,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,24,,10,11.316
"Mortality, by week",I,AUT,Austria,39,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,34,,10,11.316
"Mortality, by week",I,AUT,Austria,40,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,40,,10,11.316
"Mortality, by week",I,AUT,Austria,41,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,71,,11,11.316
"Mortality, by week",I,AUT,Austria,42,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,65,,11,11.316
"Mortality, by week",I,AUT,Austria,43,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,126,,11,11.316
