Year,Month,Country,Deaths,Expenditure
2020,6,United Kingdom,23316,11.965
2020,6,United States,22718,18.582
2020,7,Australia,6,10.66
2020,7,Austria,50,11.316
2020,7,Belgium,115,11.27
2020,7,Canada,702,13.024
2020,7,Chile,3780,9.697
2020,7,Colombia,3380,8.708
2020,7,Costa Rica,14,7.825
2020,7,Czechia,24,9.214
2020,7,Denmark,11,10.719
2020,7,Estonia,0,7.589
2020,7,Finland,2,9.632
2020,7,France,525,12.072
2020,7,Germany,113,12.69
2020,7,Greece,10,9.524
2020,7,Hungary,32,7.285
2020,7,Iceland,0,9.649
2020,7,Ireland,34,7.063
2020,7,Israel,70,7.73
2020,7,Italy,685,9.625
2020,7,Japan,57,11.209
2020,7,Korea,12,8.355
2020,7,Latvia,3,7.285
2020,7,Lithuania,1,7.474
2020,7,Luxembourg,4,5.765
2020,7,Mexico,19900,6.054
2020,7,Netherlands,55,11.224
2020,7,New Zealand,0,9.732
2020,7,Norway,6,11.424
2020,7,Poland,325,6.497
2020,7,Portugal,153,10.548
2020,7,Slovak Republic,0,7.126
2020,7,Slovenia,0,9.428
2020,7,Spain,247,10.732
2020,7,Sweden,520,11.333
2020,7,Switzerland,8,12.004
2020,7,Türkiye,552,4.616
2020,7,United Kingdom,7353,11.965
2020,7,United States,18041,18.582
2020,8,Australia,262,10.66
2020,8,Austria,47,11.316
2020,8,Belgium,86,11.27
2020,8,Canada,209,13.024
2020,8,Chile,3130,9.697
2020,8,Colombia,7325,8.708
2020,8,Costa Rica,192,7.825
2020,8,Czechia,38,9.214
2020,8,Denmark,9,10.719
2020,8,Estonia,0,7.589
2020,8,Finland,5,9.632
2020,8,France,365,12.072
2020,8,Germany,135,12.69
2020,8,Greece,20,9.524
2020,8,Hungary,10,7.285
2020,8,Iceland,0,9.649
2020,8,Ireland,13,7.063
2020,8,Israel,286,7.73
2020,8,Italy,266,9.625
2020,8,Japan,58,11.209
2020,8,Korea,16,8.355
2020,8,Latvia,1,7.285
2020,8,Lithuania,3,7.474
2020,8,Luxembourg,8,5.765
2020,8,Mexico,21283,6.054
2020,8,Netherlands,28,11.224
2020,8,New Zealand,0,9.732
2020,8,Norway,3,11.424
2020,8,Poland,236,6.497
2020,8,Portugal,98,10.548
2020,8,Slovak Republic,4,7.126
2020,8,Slovenia,16,9.428
2020,8,Spain,309,10.732
2020,8,Sweden,123,11.333
2020,8,Switzerland,19,12.004
2020,8,Türkiye,485,4.616
2020,8,United Kingdom,2688,11.965
2020,8,United States,31626,18.582
2020,9,Australia,407,10.66
2020,9,Austria,45,11.316
2020,9,Belgium,157,11.27
2020,9,Canada,172,13.024
2020,9,Chile,1540,9.697
2020,9,Colombia,8638,8.708
2020,9,Costa Rica,251,7.825
2020,9,Czechia,50,9.214
2020,9,Denmark,11,10.719
2020,9,Estonia,1,7.589
2020,9,Finland,1,9.632
2020,9,France,474,12.072
2020,9,Germany,115,12.69
2020,9,Greece,77,9.524
2020,9,Hungary,22,7.285
2020,9,Iceland,0,9.649
2020,9,Ireland,7,7.063
2020,9,Israel,371,7.73
2020,9,Italy,221,9.625
2020,9,Japan,317,11.209
2020,9,Korea,29,8.355
2020,9,Latvia,3,7.285
2020,9,Lithuania,5,7.474
2020,9,Luxembourg,0,5.765
2020,9,Mexico,15874,6.054
2020,9,Netherlands,94,11.224
2020,9,New Zealand,2,9.732
2020,9,Norway,3,11.424
2020,9,Poland,313,6.497
2020,9,Portugal,85,10.548
2020,9,Slovak Republic,8,7.126
2020,9,Slovenia,4,9.428
