Year,Month,Country,Deaths,Expenditure,Total ICU Beds
2020,7,Spain,247,10.732,5901
2020,7,Sweden,520,11.333,
2020,7,Switzerland,8,12.004,901
2020,7,Türkiye,552,4.616,32663
2020,7,United States of America,18041,18.582,70405
2020,8,Australia,262,10.66,2077
2020,8,Austria,47,11.316,1998
2020,8,Belgium,86,11.27,2001
2020,8,Canada,209,13.024,4678
2020,8,Costa Rica,192,7.825,318
2020,8,Czech Republic,38,9.214,4684
2020,8,Estonia,0,7.589,514
2020,8,France,365,12.072,19073
2020,8,Germany,135,12.69,24697
2020,8,Greece,20,9.524,2138
2020,8,Hungary,10,7.285,1313
2020,8,Ireland,13,7.063,295
2020,8,Israel,286,7.73,940
2020,8,Italy,266,9.625,6874
2020,8,Japan,58,11.209,17578
2020,8,South Korea,16,8.355,8570
2020,8,Latvia,1,7.285,242
2020,8,Lithuania,3,7.474,621
2020,8,Luxembourg,8,5.765,132
2020,8,Netherlands,28,11.224,1215
2020,8,New Zealand,0,9.732,173
2020,8,Poland,236,6.497,
2020,8,Portugal,98,10.548,1199
2020,8,Spain,309,10.732,5901
2020,8,Sweden,123,11.333,
2020,8,Switzerland,19,12.004,901
2020,8,Türkiye,485,4.616,32663
2020,8,United States of America,31626,18.582,70405
2020,9,Australia,407,10.66,2077
2020,9,Austria,45,11.316,1998
2020,9,Belgium,157,11.27,2001
2020,9,Canada,172,13.024,4678
2020,9,Costa Rica,251,7.825,318
2020,9,Czech Republic,50,9.214,4684
2020,9,Estonia,1,7.589,514
2020,9,France,474,12.072,19073
2020,9,Germany,115,12.69,24697
2020,9,Greece,77,9.524,2138
2020,9,Hungary,22,7.285,1313
2020,9,Ireland,7,7.063,295
2020,9,Israel,371,7.73,940
2020,9,Italy,221,9.625,6874
2020,9,Japan,317,11.209,17578
2020,9,South Korea,29,8.355,8570
2020,9,Latvia,3,7.285,242
2020,9,Lithuania,5,7.474,621
2020,9,Luxembourg,0,5.765,132
2020,9,Netherlands,94,11.224,1215
2020,9,New Zealand,2,9.732,173
