REF_AREA,Country,AGE,TIME_PERIOD,Mortality
ESP,Spain,_T,2022-W46,163
ESP,Spain,_T,2022-W47,175
ESP,Spain,_T,2022-W48,183
ESP,Spain,_T,2022-W49,190
ESP,Spain,_T,2022-W50,241
ESP,Spain,_T,2022-W51,217
ESP,Spain,_T,2022-W52,210
ESP,Spain,_T,2023-W01,202
ESP,Spain,_T,2023-W02,178
ESP,Spain,_T,2023-W03,197
ESP,Spain,_T,2023-W04,136
ESP,Spain,_T,2023-W05,116
ESP,Spain,_T,2023-W06,103
ESP,Spain,_T,2023-W07,85
ESP,Spain,_T,2023-W08,91
ESP,Spain,_T,2023-W09,82
ESP,Spain,_T,2023-W10,97
ESP,Spain,_T,2023-W11,123
ESP,Spain,_T,2023-W12,95
ESP,Spain,_T,2023-W13,84
ESP,Spain,_T,2023-W14,86
ESP,Spain,_T,2023-W15,80
ESP,Spain,_T,2023-W16,112
ESP,Spain,_T,2023-W17,128
ESP,Spain,_T,2023-W18,98
ESP,Spain,_T,2023-W19,102
ESP,Spain,_T,2023-W20,100
ESP,Spain,_T,2023-W21,99
ESP,Spain,_T,2023-W22,98
ESP,Spain,_T,2023-W23,89
ESP,Spain,_T,2023-W24,65
ESP,Spain,_T,2023-W25,42
ESP,Spain,_T,2023-W26,11
CHE,Switzerland,_T,2020-W01,0
CHE,Switzerland,_T,2020-W02,0
CHE,Switzerland,_T,2020-W03,0
CHE,Switzerland,_T,2020-W04,0
CHE,Switzerland,_T,2020-W05,0
CHE,Switzerland,_T,2020-W06,0
CHE,Switzerland,_T,2020-W07,0
CHE,Switzerland,_T,2020-W08,0
CHE,Switzerland,_T,2020-W09,0
CHE,Switzerland,_T,2020-W10,2
CHE,Switzerland,_T,2020-W11,18
CHE,Switzerland,_T,2020-W12,89
CHE,Switzerland,_T,2020-W13,226
CHE,Switzerland,_T,2020-W14,379
CHE,Switzerland,_T,2020-W15,358
CHE,Switzerland,_T,2020-W16,256
CHE,Switzerland,_T,2020-W17,203
CHE,Switzerland,_T,2020-W18,95
CHE,Switzerland,_T,2020-W19,55
CHE,Switzerland,_T,2020-W20,20
CHE,Switzerland,_T,2020-W21,19
CHE,Switzerland,_T,2020-W22,4
CHE,Switzerland,_T,2020-W23,1
CHE,Switzerland,_T,2020-W24,4
CHE,Switzerland,_T,2020-W25,1
CHE,Switzerland,_T,2020-W26,2
CHE,Switzerland,_T,2020-W27,2
CHE,Switzerland,_T,2020-W28,3
CHE,Switzerland,_T,2020-W29,4
CHE,Switzerland,_T,2020-W30,5
CHE,Switzerland,_T,2020-W31,5
CHE,Switzerland,_T,2020-W32,5
CHE,Switzerland,_T,2020-W33,5
CHE,Switzerland,_T,2020-W34,3
CHE,Switzerland,_T,2020-W35,5
CHE,Switzerland,_T,2020-W36,11
CHE,Switzerland,_T,2020-W37,20
CHE,Switzerland,_T,2020-W38,16
CHE,Switzerland,_T,2020-W39,12
CHE,Switzerland,_T,2020-W40,11
CHE,Switzerland,_T,2020-W41,16
CHE,Switzerland,_T,2020-W42,45
CHE,Switzerland,_T,2020-W43,131
CHE,Switzerland,_T,2020-W44,288
CHE,Switzerland,_T,2020-W45,531
CHE,Switzerland,_T,2020-W46,635
CHE,Switzerland,_T,2020-W47,635
CHE,Switzerland,_T,2020-W48,621
CHE,Switzerland,_T,2020-W49,619
CHE,Switzerland,_T,2020-W50,592
CHE,Switzerland,_T,2020-W51,630
CHE,Switzerland,_T,2020-W52,600
CHE,Switzerland,_T,2020-W53,574
CHE,Switzerland,_T,2021-W01,428
CHE,Switzerland,_T,2021-W02,397
CHE,Switzerland,_T,2021-W03,320
CHE,Switzerland,_T,2021-W04,264
CHE,Switzerland,_T,2021-W05,173
CHE,Switzerland,_T,2021-W06,126
CHE,Switzerland,_T,2021-W07,97
CHE,Switzerland,_T,2021-W08,67
CHE,Switzerland,_T,2021-W09,62
CHE,Switzerland,_T,2021-W10,75
CHE,Switzerland,_T,2021-W11,64
CHE,Switzerland,_T,2021-W12,58
CHE,Switzerland,_T,2021-W13,70
CHE,Switzerland,_T,2021-W14,66
CHE,Switzerland,_T,2021-W15,46
CHE,Switzerland,_T,2021-W16,52
CHE,Switzerland,_T,2021-W17,70
CHE,Switzerland,_T,2021-W18,44
CHE,Switzerland,_T,2021-W19,26
CHE,Switzerland,_T,2021-W20,37
CHE,Switzerland,_T,2021-W21,24
CHE,Switzerland,_T,2021-W22,18
CHE,Switzerland,_T,2021-W23,20
CHE,Switzerland,_T,2021-W24,13
CHE,Switzerland,_T,2021-W25,6
CHE,Switzerland,_T,2021-W26,5
CHE,Switzerland,_T,2021-W27,2
CHE,Switzerland,_T,2021-W28,3
CHE,Switzerland,_T,2021-W29,4
CHE,Switzerland,_T,2021-W30,11
CHE,Switzerland,_T,2021-W31,3
CHE,Switzerland,_T,2021-W32,14
CHE,Switzerland,_T,2021-W33,24
CHE,Switzerland,_T,2021-W34,40
CHE,Switzerland,_T,2021-W35,49
CHE,Switzerland,_T,2021-W36,54
CHE,Switzerland,_T,2021-W37,46
CHE,Switzerland,_T,2021-W38,41
CHE,Switzerland,_T,2021-W39,39
CHE,Switzerland,_T,2021-W40,30
CHE,Switzerland,_T,2021-W41,32
CHE,Switzerland,_T,2021-W42,33
CHE,Switzerland,_T,2021-W43,44
CHE,Switzerland,_T,2021-W44,29
CHE,Switzerland,_T,2021-W45,63
CHE,Switzerland,_T,2021-W46,75
CHE,Switzerland,_T,2021-W47,108
CHE,Switzerland,_T,2021-W48,168
CHE,Switzerland,_T,2021-W49,185
CHE,Switzerland,_T,2021-W50,195
CHE,Switzerland,_T,2021-W51,152
CHE,Switzerland,_T,2021-W52,135
CHE,Switzerland,_T,2022-W01,104
CHE,Switzerland,_T,2022-W02,96
CHE,Switzerland,_T,2022-W03,115
CHE,Switzerland,_T,2022-W04,93
CHE,Switzerland,_T,2022-W05,105
CHE,Switzerland,_T,2022-W06,106
CHE,Switzerland,_T,2022-W07,72
CHE,Switzerland,_T,2022-W08,83
CHE,Switzerland,_T,2022-W09,58
CHE,Switzerland,_T,2022-W10,64
CHE,Switzerland,_T,2022-W11,96
CHE,Switzerland,_T,2022-W12,89
CHE,Switzerland,_T,2022-W13,59
CHE,Switzerland,_T,2022-W14,54
CHE,Switzerland,_T,2022-W15,37
CHE,Switzerland,_T,2022-W16,32
CHE,Switzerland,_T,2022-W17,14
CHE,Switzerland,_T,2022-W18,20
CHE,Switzerland,_T,2022-W19,12
CHE,Switzerland,_T,2022-W20,12
CHE,Switzerland,_T,2022-W21,5
CHE,Switzerland,_T,2022-W22,8
CHE,Switzerland,_T,2022-W23,5
CHE,Switzerland,_T,2022-W24,8
CHE,Switzerland,_T,2022-W25,16
CHE,Switzerland,_T,2022-W26,17
CHE,Switzerland,_T,2022-W27,36
CHE,Switzerland,_T,2022-W28,32
CHE,Switzerland,_T,2022-W29,33
CHE,Switzerland,_T,2022-W30,41
CHE,Switzerland,_T,2022-W31,26
CHE,Switzerland,_T,2022-W32,19
CHE,Switzerland,_T,2022-W33,16
CHE,Switzerland,_T,2022-W34,12
CHE,Switzerland,_T,2022-W35,9
CHE,Switzerland,_T,2022-W36,9
CHE,Switzerland,_T,2022-W37,7
CHE,Switzerland,_T,2022-W38,12
CHE,Switzerland,_T,2022-W39,15
CHE,Switzerland,_T,2022-W40,15
CHE,Switzerland,_T,2022-W41,23
CHE,Switzerland,_T,2022-W42,31
CHE,Switzerland,_T,2022-W43,27
CHE,Switzerland,_T,2022-W44,22
CHE,Switzerland,_T,2022-W45,12
CHE,Switzerland,_T,2022-W46,21
CHE,Switzerland,_T,2022-W47,20
CHE,Switzerland,_T,2022-W48,19
CHE,Switzerland,_T,2022-W49,24
CHE,Switzerland,_T,2022-W50,26
CHE,Switzerland,_T,2022-W51,15
CHE,Switzerland,_T,2022-W52,19
CHE,Switzerland,_T,2023-W01,23
CHE,Switzerland,_T,2023-W02,14
CHE,Switzerland,_T,2023-W03,2
CHE,Switzerland,_T,2023-W04,8
CHE,Switzerland,_T,2023-W05,7
CHE,Switzerland,_T,2023-W06,5
CHE,Switzerland,_T,2023-W07,4
CHE,Switzerland,_T,2023-W08,6
CHE,Switzerland,_T,2023-W09,3
CHE,Switzerland,_T,2023-W10,6
CHE,Switzerland,_T,2023-W11,6
CHE,Switzerland,_T,2023-W12,10
CHE,Switzerland,_T,2023-W13,9
CHE,Switzerland,_T,2023-W14,8
CHE,Switzerland,_T,2023-W15,3
CHE,Switzerland,_T,2023-W16,6
CHE,Switzerland,_T,2023-W17,6
CHE,Switzerland,_T,2023-W18,5
CHE,Switzerland,_T,2023-W19,12
CHE,Switzerland,_T,2023-W20,4
CHE,Switzerland,_T,2023-W21,2
CHE,Switzerland,_T,2023-W22,2
CHE,Switzerland,_T,2023-W23,2
CHE,Switzerland,_T,2023-W24,1
CHE,Switzerland,_T,2023-W25,1
CHE,Switzerland,_T,2023-W26,0
CHE,Switzerland,_T,2023-W27,1
CHE,Switzerland,_T,2023-W28,0
CHE,Switzerland,_T,2023-W29,1
CHE,Switzerland,_T,2023-W30,1
CHE,Switzerland,_T,2023-W31,2
CHE,Switzerland,_T,2023-W32,3
CHE,Switzerland,_T,2023-W33,0
CHE,Switzerland,_T,2023-W34,2
CHE,Switzerland,_T,2023-W35,3
CHE,Switzerland,_T,2023-W36,1
CHE,Switzerland,_T,2023-W37,4
CHE,Switzerland,_T,2023-W38,2
CHE,Switzerland,_T,2023-W39,4
CHE,Switzerland,_T,2023-W40,4
CHE,Switzerland,_T,2023-W41,5
CHE,Switzerland,_T,2023-W42,6
CHE,Switzerland,_T,2023-W43,4
CHE,Switzerland,_T,2023-W44,3
CHE,Switzerland,_T,2023-W45,7
CHE,Switzerland,_T,2023-W46,15
CHE,Switzerland,_T,2023-W47,14
CHE,Switzerland,_T,2023-W48,14
CHE,Switzerland,_T,2023-W49,14
CHE,Switzerland,_T,2023-W50,12
CHE,Switzerland,_T,2023-W51,8
CHE,Switzerland,_T,2023-W52,1
CHE,Switzerland,_T,2024-W01,0
CHE,Switzerland,_T,2024-W02,0
CHE,Switzerland,_T,2024-W03,0
CHE,Switzerland,_T,2024-W04,0
CHE,Switzerland,_T,2024-W05,0
CHE,Switzerland,_T,2024-W06,0
CHE,Switzerland,_T,2024-W07,0
CHE,Switzerland,_T,2024-W08,0
CHE,Switzerland,_T,2024-W09,0
CHE,Switzerland,_T,2024-W10,0
CHE,Switzerland,_T,2024-W11,0
CHE,Switzerland,_T,2024-W12,0
CHE,Switzerland,_T,2024-W13,0
CHE,Switzerland,_T,2024-W14,0
CHE,Switzerland,_T,2024-W15,0
CHE,Switzerland,_T,2024-W16,0
CHE,Switzerland,_T,2024-W17,0
CHE,Switzerland,_T,2024-W18,0
CHE,Switzerland,_T,2024-W19,0
CHE,Switzerland,_T,2024-W20,0
CHE,Switzerland,_T,2024-W21,0
CHE,Switzerland,_T,2024-W22,0
CHE,Switzerland,_T,2024-W23,0
CHE,Switzerland,_T,2024-W24,0
CHL,Chile,_T,2020-W01,0
CHL,Chile,_T,2020-W02,0
CHL,Chile,_T,2020-W03,0
CHL,Chile,_T,2020-W04,0
CHL,Chile,_T,2020-W05,0
CHL,Chile,_T,2020-W06,0
CHL,Chile,_T,2020-W07,0
CHL,Chile,_T,2020-W08,0
CHL,Chile,_T,2020-W09,0
CHL,Chile,_T,2020-W10,0
CHL,Chile,_T,2020-W11,0
CHL,Chile,_T,2020-W12,0
CHL,Chile,_T,2020-W13,6
CHL,Chile,_T,2020-W14,21
CHL,Chile,_T,2020-W15,46
CHL,Chile,_T,2020-W16,53
CHL,Chile,_T,2020-W17,55
CHL,Chile,_T,2020-W18,66
CHL,Chile,_T,2020-W19,57
CHL,Chile,_T,2020-W20,117
CHL,Chile,_T,2020-W21,252
CHL,Chile,_T,2020-W22,324
CHL,Chile,_T,2020-W23,544
CHL,Chile,_T,2020-W24,1560
CHL,Chile,_T,2020-W25,1194
CHL,Chile,_T,2020-W26,1052
CHL,Chile,_T,2020-W27,845
CHL,Chile,_T,2020-W28,689
CHL,Chile,_T,2020-W29,1564
CHL,Chile,_T,2020-W30,575
CHL,Chile,_T,2020-W31,513
CHL,Chile,_T,2020-W32,478
CHL,Chile,_T,2020-W33,384
CHL,Chile,_T,2020-W34,397
CHL,Chile,_T,2020-W35,389
CHL,Chile,_T,2020-W36,370
CHL,Chile,_T,2020-W37,344
CHL,Chile,_T,2020-W38,359
CHL,Chile,_T,2020-W39,337
CHL,Chile,_T,2020-W40,328
CHL,Chile,_T,2020-W41,353
CHL,Chile,_T,2020-W42,316
CHL,Chile,_T,2020-W43,304
CHL,Chile,_T,2020-W44,315
CHL,Chile,_T,2020-W45,292
CHL,Chile,_T,2020-W46,278
CHL,Chile,_T,2020-W47,253
CHL,Chile,_T,2020-W48,292
CHL,Chile,_T,2020-W49,270
CHL,Chile,_T,2020-W50,254
CHL,Chile,_T,2020-W51,255
CHL,Chile,_T,2020-W52,303
CHL,Chile,_T,2020-W53,320
CHL,Chile,_T,2021-W01,313
CHL,Chile,_T,2021-W02,398
CHL,Chile,_T,2021-W03,419
CHL,Chile,_T,2021-W04,485
CHL,Chile,_T,2021-W05,556
CHL,Chile,_T,2021-W06,548
CHL,Chile,_T,2021-W07,531
CHL,Chile,_T,2021-W08,502
CHL,Chile,_T,2021-W09,532
CHL,Chile,_T,2021-W10,566
CHL,Chile,_T,2021-W11,606
CHL,Chile,_T,2021-W12,473
CHL,Chile,_T,2021-W13,871
CHL,Chile,_T,2021-W14,689
CHL,Chile,_T,2021-W15,842
CHL,Chile,_T,2021-W16,687
CHL,Chile,_T,2021-W17,715
CHL,Chile,_T,2021-W18,644
CHL,Chile,_T,2021-W19,633
CHL,Chile,_T,2021-W20,652
CHL,Chile,_T,2021-W21,661
CHL,Chile,_T,2021-W22,769
CHL,Chile,_T,2021-W23,763
CHL,Chile,_T,2021-W24,813
CHL,Chile,_T,2021-W25,771
CHL,Chile,_T,2021-W26,810
CHL,Chile,_T,2021-W27,794
CHL,Chile,_T,2021-W28,636
CHL,Chile,_T,2021-W29,555
CHL,Chile,_T,2021-W30,490
CHL,Chile,_T,2021-W31,503
CHL,Chile,_T,2021-W32,380
CHL,Chile,_T,2021-W33,274
CHL,Chile,_T,2021-W34,236
CHL,Chile,_T,2021-W35,226
CHL,Chile,_T,2021-W36,134
CHL,Chile,_T,2021-W37,138
CHL,Chile,_T,2021-W38,93
CHL,Chile,_T,2021-W39,52
CHL,Chile,_T,2021-W40,70
CHL,Chile,_T,2021-W41,43
CHL,Chile,_T,2021-W42,65
CHL,Chile,_T,2021-W43,81
CHL,Chile,_T,2021-W44,98
CHL,Chile,_T,2021-W45,110
CHL,Chile,_T,2021-W46,143
CHL,Chile,_T,2021-W47,188
CHL,Chile,_T,2021-W48,183
CHL,Chile,_T,2021-W49,181
CHL,Chile,_T,2021-W50,194
CHL,Chile,_T,2021-W51,173
CHL,Chile,_T,2021-W52,127
CHL,Chile,_T,2022-W01,111
CHL,Chile,_T,2022-W02,125
CHL,Chile,_T,2022-W03,121
CHL,Chile,_T,2022-W04,156
CHL,Chile,_T,2022-W05,277
CHL,Chile,_T,2022-W06,534
CHL,Chile,_T,2022-W07,732
CHL,Chile,_T,2022-W08,874
CHL,Chile,_T,2022-W09,885
CHL,Chile,_T,2022-W10,830
CHL,Chile,_T,2022-W11,655
CHL,Chile,_T,2022-W12,11858
CHL,Chile,_T,2022-W13,391
CHL,Chile,_T,2022-W14,308
CHL,Chile,_T,2022-W15,234
CHL,Chile,_T,2022-W16,144
CHL,Chile,_T,2022-W17,152
CHL,Chile,_T,2022-W18,102
CHL,Chile,_T,2022-W19,85
CHL,Chile,_T,2022-W20,80
CHL,Chile,_T,2022-W21,83
CHL,Chile,_T,2022-W22,78
CHL,Chile,_T,2022-W23,121
CHL,Chile,_T,2022-W24,150
CHL,Chile,_T,2022-W25,159
CHL,Chile,_T,2022-W26,178
CHL,Chile,_T,2022-W27,224
CHL,Chile,_T,2022-W28,252
CHL,Chile,_T,2022-W29,264
CHL,Chile,_T,2022-W30,249
CHL,Chile,_T,2022-W31,221
CHL,Chile,_T,2022-W32,188
CHL,Chile,_T,2022-W33,213
CHL,Chile,_T,2022-W34,208
CHL,Chile,_T,2022-W35,189
CHL,Chile,_T,2022-W36,178
CHL,Chile,_T,2022-W37,174
CHL,Chile,_T,2022-W38,123
CHL,Chile,_T,2022-W39,132
CHL,Chile,_T,2022-W40,128
CHL,Chile,_T,2022-W41,106
CHL,Chile,_T,2022-W42,123
CHL,Chile,_T,2022-W43,117
CHL,Chile,_T,2022-W44,137
CHL,Chile,_T,2022-W45,194
CHL,Chile,_T,2022-W46,182
CHL,Chile,_T,2022-W47,192
CHL,Chile,_T,2022-W48,186
CHL,Chile,_T,2022-W49,165
CHL,Chile,_T,2022-W50,142
CHL,Chile,_T,2022-W51,162
CHL,Chile,_T,2022-W52,160
CHL,Chile,_T,2023-W01,158
CHL,Chile,_T,2023-W02,166
CHL,Chile,_T,2023-W03,144
CHL,Chile,_T,2023-W04,124
CHL,Chile,_T,2023-W05,111
CHL,Chile,_T,2023-W06,110
CHL,Chile,_T,2023-W07,82
CHL,Chile,_T,2023-W08,91
CHL,Chile,_T,2023-W09,64
CHL,Chile,_T,2023-W10,79
CHL,Chile,_T,2023-W11,78
CHL,Chile,_T,2023-W12,103
CHL,Chile,_T,2023-W13,-3432
CHL,Chile,_T,2023-W14,92
CHL,Chile,_T,2023-W15,105
CHL,Chile,_T,2023-W16,76
CHL,Chile,_T,2023-W17,61
CHL,Chile,_T,2023-W18,50
CHL,Chile,_T,2023-W19,24
CHL,Chile,_T,2023-W20,23
CHL,Chile,_T,2023-W21,17
CHL,Chile,_T,2023-W22,17
CHL,Chile,_T,2023-W23,15
CHL,Chile,_T,2023-W24,12
CHL,Chile,_T,2023-W25,10
CHL,Chile,_T,2023-W26,3
CHL,Chile,_T,2023-W27,5
CHL,Chile,_T,2023-W28,8
CHL,Chile,_T,2023-W29,11
CHL,Chile,_T,2023-W30,2
CHL,Chile,_T,2023-W31,4
CHL,Chile,_T,2023-W32,6
CHL,Chile,_T,2023-W33,6
CHL,Chile,_T,2023-W34,4
CHL,Chile,_T,2023-W35,7
CHL,Chile,_T,2023-W36,10
CHL,Chile,_T,2023-W37,8
CHL,Chile,_T,2023-W38,16
CHL,Chile,_T,2023-W39,25
CHL,Chile,_T,2023-W40,27
CHL,Chile,_T,2023-W41,34
CHL,Chile,_T,2023-W42,52
CHL,Chile,_T,2023-W43,37
CHL,Chile,_T,2023-W44,56
CHL,Chile,_T,2023-W45,46
CHL,Chile,_T,2023-W46,57
CHL,Chile,_T,2023-W47,57
CHL,Chile,_T,2023-W48,48
CHL,Chile,_T,2023-W49,48
CHL,Chile,_T,2023-W50,42
CHL,Chile,_T,2023-W51,32
CHL,Chile,_T,2023-W52,24
CHL,Chile,_T,2024-W01,16
CHL,Chile,_T,2024-W02,20
CHL,Chile,_T,2024-W03,20
CHL,Chile,_T,2024-W04,28
CHL,Chile,_T,2024-W05,35
CHL,Chile,_T,2024-W06,25
CHL,Chile,_T,2024-W07,27
CHL,Chile,_T,2024-W08,36
CHL,Chile,_T,2024-W09,40
CHL,Chile,_T,2024-W10,32
CHL,Chile,_T,2024-W11,32
CHL,Chile,_T,2024-W12,30
CHL,Chile,_T,2024-W13,18
CHL,Chile,_T,2024-W14,25
CHL,Chile,_T,2024-W15,30
CHL,Chile,_T,2024-W16,28
CHL,Chile,_T,2024-W17,17
CHL,Chile,_T,2024-W18,12
CHL,Chile,_T,2024-W19,6
CHL,Chile,_T,2024-W20,1
CHL,Chile,_T,2024-W21,3
CHL,Chile,_T,2024-W22,3
CHL,Chile,_T,2024-W23,4
CHL,Chile,_T,2024-W24,6
COL,Colombia,_T,2020-W01,0
COL,Colombia,_T,2020-W02,0
COL,Colombia,_T,2020-W03,0
COL,Colombia,_T,2020-W04,0
COL,Colombia,_T,2020-W05,0
COL,Colombia,_T,2020-W06,0
COL,Colombia,_T,2020-W07,0
COL,Colombia,_T,2020-W08,0
COL,Colombia,_T,2020-W09,0
COL,Colombia,_T,2020-W10,0
COL,Colombia,_T,2020-W11,0
COL,Colombia,_T,2020-W12,0
COL,Colombia,_T,2020-W13,6
COL,Colombia,_T,2020-W14,19
COL,Colombia,_T,2020-W15,55
COL,Colombia,_T,2020-W16,73
COL,Colombia,_T,2020-W17,72
COL,Colombia,_T,2020-W18,89
COL,Colombia,_T,2020-W19,114
COL,Colombia,_T,2020-W20,118
COL,Colombia,_T,2020-W21,136
COL,Colombia,_T,2020-W22,171
COL,Colombia,_T,2020-W23,292
COL,Colombia,_T,2020-W24,400
COL,Colombia,_T,2020-W25,500
COL,Colombia,_T,2020-W26,766
COL,Colombia,_T,2020-W27,966
COL,Colombia,_T,2020-W28,1148
COL,Colombia,_T,2020-W29,1363
COL,Colombia,_T,2020-W30,1687
COL,Colombia,_T,2020-W31,2130
COL,Colombia,_T,2020-W32,2145
COL,Colombia,_T,2020-W33,2242
COL,Colombia,_T,2020-W34,2076
COL,Colombia,_T,2020-W35,2199
COL,Colombia,_T,2020-W36,2121
COL,Colombia,_T,2020-W37,1630
COL,Colombia,_T,2020-W38,1332
COL,Colombia,_T,2020-W39,1253
COL,Colombia,_T,2020-W40,1294
COL,Colombia,_T,2020-W41,1098
COL,Colombia,_T,2020-W42,1121
COL,Colombia,_T,2020-W43,1186
COL,Colombia,_T,2020-W44,1333
COL,Colombia,_T,2020-W45,1270
COL,Colombia,_T,2020-W46,1264
COL,Colombia,_T,2020-W47,1260
COL,Colombia,_T,2020-W48,1285
COL,Colombia,_T,2020-W49,1253
COL,Colombia,_T,2020-W50,1202
COL,Colombia,_T,2020-W51,1350
COL,Colombia,_T,2020-W52,1671
COL,Colombia,_T,2020-W53,1805
COL,Colombia,_T,2021-W01,1936
COL,Colombia,_T,2021-W02,2437
COL,Colombia,_T,2021-W03,2718
COL,Colombia,_T,2021-W04,2698
COL,Colombia,_T,2021-W05,2119
COL,Colombia,_T,2021-W06,1793
COL,Colombia,_T,2021-W07,1315
COL,Colombia,_T,2021-W08,1007
COL,Colombia,_T,2021-W09,782
